,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred
475,0,1,"['AWS', 'Excel', 'R']",0,2,77,82447,2024-02,1,['MLflow']
476,4,2,"['FastAPI', 'LangChain', 'SQL', 'TensorFlow', 'R']",1,1,184,40493,2024-04,2,['BigQuery']
477,0,3,"['Keras', 'LangChain', 'R', 'MLflow', 'Azure', 'TensorFlow']",2,1,17,123525,2024-08,1,"['TensorFlow', 'BigQuery', 'LangChain']"
478,5,7,"['SQL', 'R', 'Keras']",1,1,32,48593,2024-10,0,"['KDB+', 'MLflow']"
479,2,0,"['Power BI', 'CUDA', 'Scikit-learn']",0,1,41,84439,2025-03,2,"['MLflow', 'PyTorch']"
480,3,1,"['AWS', 'CUDA', 'GCP', 'Scikit-learn', 'Azure']",1,2,171,132748,2024-07,0,"['Scikit-learn', 'KDB+']"
481,2,7,"['SQL', 'Hugging Face', 'Azure', 'C++', 'Keras', 'Flask']",2,0,144,127247,2025-09,1,['KDB+']
482,0,7,"['Excel', 'Power BI', 'GCP', 'CUDA', 'PyTorch', 'Keras']",1,0,107,72261,2025-08,1,['Scikit-learn']
483,6,3,"['Keras', 'C++', 'Scikit-learn', 'Flask', 'PyTorch', 'Pandas']",1,2,105,129504,2024-02,1,"['MLflow', 'PyTorch']"
484,1,0,"['TensorFlow', 'Power BI', 'Reinforcement Learning', 'NumPy', 'CUDA', 'Excel']",1,1,143,116697,2024-02,2,"['LangChain', 'Scikit-learn', 'FastAPI']"
485,5,2,"['Python', 'Azure', 'R', 'TensorFlow', 'GCP']",0,1,53,46832,2024-07,2,"['MLflow', 'BigQuery', 'Scikit-learn']"
486,4,4,"['Hugging Face', 'C++', 'PyTorch', 'Reinforcement Learning', 'TensorFlow']",1,2,175,135983,2025-03,0,"['PyTorch', 'BigQuery']"
487,2,0,"['Reinforcement Learning', 'GCP', 'NumPy']",2,3,119,86380,2023-11,2,"['Scikit-learn', 'TensorFlow', 'BigQuery']"
488,3,0,"['Reinforcement Learning', 'NumPy', 'Scikit-learn']",0,0,84,97354,2023-10,2,"['LangChain', 'BigQuery']"
489,1,7,"['PyTorch', 'Hugging Face', 'GCP', 'Flask']",1,3,59,130041,2024-06,0,['Scikit-learn']
490,3,4,"['R', 'FastAPI', 'AWS']",1,2,75,98664,2023-09,0,"['PyTorch', 'LangChain']"
491,0,3,"['MLflow', 'CUDA', 'C++']",0,0,28,112236,2024-11,0,"['LangChain', 'TensorFlow']"
492,2,4,"['CUDA', 'AWS', 'NumPy', 'Azure', 'Power BI']",0,1,43,89452,2023-10,0,"['TensorFlow', 'Scikit-learn', 'FastAPI']"
493,3,1,"['Keras', 'NumPy', 'Python', 'AWS', 'Flask', 'Azure']",1,1,118,41836,2024-01,0,"['Scikit-learn', 'LangChain']"
494,4,7,"['Azure', 'Flask', 'MLflow', 'GCP']",2,3,171,80778,2025-03,0,"['PyTorch', 'KDB+']"
495,6,0,"['FastAPI', 'CUDA', 'R']",0,1,185,68580,2025-07,1,['KDB+']
496,2,4,"['AWS', 'CUDA', 'MLflow', 'Python']",2,2,79,41323,2025-08,1,"['KDB+', 'PyTorch', 'FastAPI']"
497,2,0,"['Flask', 'SQL', 'PyTorch', 'Azure', 'AWS']",2,3,113,127995,2025-04,2,['LangChain']
498,5,2,"['C++', 'SQL', 'Python', 'MLflow', 'Power BI', 'FastAPI']",1,1,130,91343,2025-03,0,['LangChain']
499,1,2,"['CUDA', 'SQL', 'Keras', 'C++']",1,1,154,58872,2024-05,1,"['FastAPI', 'Scikit-learn', 'TensorFlow']"
500,0,0,"['MLflow', 'TensorFlow', 'NumPy', 'Pandas']",1,1,58,59652,2023-10,0,['TensorFlow']
501,4,2,"['TensorFlow', 'NumPy', 'Pandas', 'PyTorch', 'Azure']",2,3,86,64588,2024-08,1,"['KDB+', 'FastAPI', 'Scikit-learn']"
502,0,2,"['FastAPI', 'Keras', 'CUDA', 'PyTorch', 'LangChain']",2,2,33,62963,2024-11,2,"['BigQuery', 'MLflow']"
503,6,6,"['PyTorch', 'Azure', 'Reinforcement Learning', 'TensorFlow', 'Pandas', 'FastAPI']",1,0,111,147083,2025-04,0,['PyTorch']
504,0,1,"['GCP', 'MLflow', 'PyTorch']",0,0,133,124727,2025-07,0,"['PyTorch', 'MLflow', 'LangChain']"
505,5,6,"['Python', 'Flask', 'LangChain', 'AWS', 'Keras']",2,0,107,103756,2025-08,2,"['FastAPI', 'Scikit-learn', 'PyTorch']"
506,3,4,"['Azure', 'TensorFlow', 'C++']",1,3,177,97542,2024-05,2,['TensorFlow']
507,0,5,"['Scikit-learn', 'Hugging Face', 'TensorFlow']",0,0,1,80381,2024-09,2,"['TensorFlow', 'BigQuery']"
508,2,4,"['Python', 'Azure', 'Reinforcement Learning', 'LangChain', 'AWS', 'Hugging Face']",2,1,143,147604,2024-12,2,"['LangChain', 'TensorFlow', 'KDB+']"
509,4,3,"['MLflow', 'Python', 'TensorFlow', 'LangChain']",0,3,140,56981,2024-12,1,"['TensorFlow', 'PyTorch', 'KDB+']"
510,5,3,"['GCP', 'Scikit-learn', 'Flask', 'AWS', 'Excel', 'Power BI']",0,1,22,116148,2025-08,2,['PyTorch']
511,4,1,"['TensorFlow', 'R', 'FastAPI', 'Pandas', 'Power BI']",1,0,52,49163,2023-09,0,"['MLflow', 'Scikit-learn']"
512,4,0,"['Python', 'Hugging Face', 'Scikit-learn', 'GCP']",0,0,66,51721,2025-01,0,"['MLflow', 'KDB+']"
513,2,7,"['Azure', 'Pandas', 'TensorFlow', 'AWS']",1,1,57,143486,2024-06,0,"['BigQuery', 'Scikit-learn', 'PyTorch']"
514,0,3,"['R', 'Reinforcement Learning', 'Scikit-learn', 'PyTorch', 'GCP']",0,1,165,141494,2024-10,1,"['BigQuery', 'TensorFlow', 'FastAPI']"
515,6,6,"['Excel', 'Hugging Face', 'AWS', 'TensorFlow', 'R', 'Power BI']",0,0,107,40667,2025-07,1,['TensorFlow']
516,1,2,"['Python', 'Pandas', 'Excel', 'TensorFlow', 'Azure']",0,1,42,45587,2024-05,2,"['TensorFlow', 'PyTorch']"
517,0,3,"['PyTorch', 'Pandas', 'Reinforcement Learning']",1,0,84,50145,2024-05,1,['KDB+']
518,1,3,"['NumPy', 'Keras', 'PyTorch', 'TensorFlow', 'Flask', 'Excel']",2,0,104,125963,2024-11,0,"['FastAPI', 'PyTorch', 'BigQuery']"
519,1,1,"['R', 'TensorFlow', 'AWS']",1,1,87,117682,2025-04,2,"['PyTorch', 'KDB+']"
520,1,5,"['SQL', 'NumPy', 'Scikit-learn']",0,3,126,108359,2024-11,0,"['TensorFlow', 'LangChain']"
521,3,0,"['MLflow', 'Flask', 'Keras', 'Scikit-learn', 'LangChain']",0,0,149,46169,2024-07,1,['TensorFlow']
522,4,3,"['FastAPI', 'Excel', 'PyTorch', 'Flask', 'Reinforcement Learning']",1,1,56,109531,2024-08,1,"['BigQuery', 'PyTorch', 'FastAPI']"
523,5,5,"['Hugging Face', 'GCP', 'Scikit-learn']",0,0,163,146291,2024-02,1,"['Scikit-learn', 'PyTorch', 'LangChain']"
524,6,0,"['SQL', 'Python', 'Excel', 'Flask']",0,0,68,60309,2025-08,1,"['TensorFlow', 'KDB+', 'BigQuery']"
525,0,4,"['SQL', 'Keras', 'Pandas', 'GCP']",2,0,79,135243,2024-03,2,"['FastAPI', 'KDB+']"
526,1,5,"['CUDA', 'Power BI', 'AWS', 'FastAPI', 'C++']",2,2,83,141909,2024-11,1,['TensorFlow']
527,2,5,"['C++', 'CUDA', 'Azure']",0,1,85,110795,2025-03,2,"['LangChain', 'MLflow']"
528,5,6,"['LangChain', 'GCP', 'Reinforcement Learning', 'Excel', 'FastAPI', 'Power BI']",1,1,146,97755,2024-01,0,"['KDB+', 'PyTorch']"
529,4,3,"['Excel', 'Power BI', 'PyTorch', 'Hugging Face', 'R']",2,1,188,141037,2024-02,1,"['Scikit-learn', 'BigQuery', 'MLflow']"
530,4,0,"['GCP', 'Reinforcement Learning', 'Keras', 'Pandas']",1,1,135,128537,2024-09,1,['FastAPI']
531,4,0,"['Keras', 'FastAPI', 'C++', 'Hugging Face']",2,3,43,56606,2025-02,1,"['Scikit-learn', 'PyTorch']"
532,6,5,"['Python', 'PyTorch', 'SQL', 'FastAPI']",1,0,21,54795,2023-12,2,"['MLflow', 'FastAPI', 'Scikit-learn']"
533,3,3,"['Keras', 'Python', 'Hugging Face', 'Flask']",2,2,79,68706,2024-06,1,"['TensorFlow', 'FastAPI']"
534,3,6,"['Hugging Face', 'Azure', 'PyTorch', 'GCP']",2,0,152,107190,2025-09,0,['FastAPI']
535,4,5,"['TensorFlow', 'LangChain', 'Keras', 'Scikit-learn', 'Excel', 'C++']",0,0,124,65172,2024-01,1,['MLflow']
536,4,1,"['Scikit-learn', 'Azure', 'GCP']",1,3,34,58475,2025-06,0,"['PyTorch', 'MLflow']"
537,3,0,"['FastAPI', 'TensorFlow', 'Keras']",0,0,74,89065,2024-08,0,['MLflow']
538,3,6,"['R', 'NumPy', 'Scikit-learn']",1,1,82,140046,2024-08,1,"['BigQuery', 'PyTorch']"
539,0,1,"['Python', 'MLflow', 'SQL']",1,2,186,50054,2024-06,0,"['Scikit-learn', 'MLflow', 'FastAPI']"
540,1,5,"['R', 'Scikit-learn', 'Power BI']",2,2,14,84367,2025-04,2,['MLflow']
541,1,5,"['Pandas', 'LangChain', 'Python', 'Keras']",2,2,143,106747,2025-01,2,"['KDB+', 'Scikit-learn', 'TensorFlow']"
542,2,6,"['Hugging Face', 'R', 'Azure', 'Power BI', 'Excel']",2,3,14,134658,2024-01,1,"['LangChain', 'FastAPI']"
543,0,7,"['Pandas', 'FastAPI', 'Hugging Face', 'PyTorch', 'Power BI']",2,3,117,67982,2024-08,2,['LangChain']
544,6,3,"['GCP', 'Pandas', 'FastAPI', 'C++', 'Excel']",1,2,137,66502,2025-06,1,"['FastAPI', 'MLflow']"
545,1,5,"['Excel', 'Pandas', 'CUDA']",1,3,51,129492,2024-10,2,['PyTorch']
546,1,4,"['Reinforcement Learning', 'Hugging Face', 'Pandas', 'Excel']",1,0,141,46778,2025-05,2,"['FastAPI', 'PyTorch']"
547,2,4,"['Reinforcement Learning', 'LangChain', 'C++']",0,2,115,139140,2025-09,2,"['LangChain', 'FastAPI']"
548,2,0,"['FastAPI', 'Excel', 'AWS', 'LangChain', 'Python']",0,0,178,81090,2024-10,2,"['KDB+', 'MLflow']"
549,6,6,"['Power BI', 'C++', 'R']",2,0,12,134343,2024-01,2,['BigQuery']
550,2,2,"['C++', 'Hugging Face', 'Flask', 'Python', 'NumPy', 'Scikit-learn']",2,3,193,72912,2024-02,0,"['Scikit-learn', 'FastAPI', 'LangChain']"
551,2,4,"['FastAPI', 'Azure', 'TensorFlow']",1,2,124,123639,2024-06,1,['TensorFlow']
552,4,6,"['MLflow', 'Reinforcement Learning', 'Python']",1,2,42,71107,2025-08,1,"['PyTorch', 'TensorFlow']"
553,6,5,"['CUDA', 'R', 'Reinforcement Learning']",0,3,32,139426,2025-02,2,"['MLflow', 'PyTorch', 'KDB+']"
554,3,3,"['Python', 'AWS', 'FastAPI']",0,3,129,41327,2024-08,1,['FastAPI']
555,6,1,"['MLflow', 'AWS', 'SQL', 'Python']",1,3,27,132842,2024-01,1,"['TensorFlow', 'FastAPI']"
556,2,4,"['MLflow', 'Azure', 'Python']",2,2,71,61018,2023-12,1,"['TensorFlow', 'KDB+']"
557,1,7,"['Excel', 'Flask', 'Power BI', 'PyTorch', 'SQL', 'CUDA']",2,2,160,129013,2024-08,1,"['LangChain', 'BigQuery', 'FastAPI']"
558,6,5,"['Scikit-learn', 'AWS', 'CUDA', 'Azure', 'Hugging Face']",2,3,159,53336,2024-10,2,"['FastAPI', 'TensorFlow', 'LangChain']"
559,1,6,"['LangChain', 'Python', 'AWS', 'R', 'Keras']",0,1,73,60072,2025-05,2,"['LangChain', 'BigQuery']"
560,6,0,"['Excel', 'Azure', 'Pandas', 'PyTorch', 'SQL']",1,1,10,95822,2025-05,2,"['PyTorch', 'TensorFlow', 'KDB+']"
561,0,4,"['NumPy', 'Excel', 'LangChain']",0,0,163,123940,2024-10,1,"['MLflow', 'Scikit-learn', 'FastAPI']"
562,6,7,"['TensorFlow', 'Flask', 'NumPy', 'GCP']",1,2,67,93765,2024-02,1,['TensorFlow']
563,4,1,"['Hugging Face', 'Flask', 'Pandas', 'Scikit-learn']",2,1,97,107143,2024-07,1,"['BigQuery', 'MLflow']"
564,4,1,"['Python', 'Pandas', 'R', 'Scikit-learn']",0,2,177,78028,2025-09,0,"['LangChain', 'TensorFlow', 'BigQuery']"
565,6,2,"['Excel', 'TensorFlow', 'Azure', 'Reinforcement Learning']",0,0,86,65169,2024-04,0,"['BigQuery', 'FastAPI']"
566,1,3,"['Hugging Face', 'Keras', 'FastAPI', 'Power BI']",2,0,184,70715,2025-01,2,"['LangChain', 'PyTorch', 'MLflow']"
567,2,3,"['Reinforcement Learning', 'Pandas', 'AWS']",2,1,77,119460,2024-04,1,"['FastAPI', 'KDB+', 'BigQuery']"
568,2,6,"['Keras', 'Python', 'PyTorch', 'GCP', 'C++']",1,0,20,91699,2024-08,0,"['Scikit-learn', 'TensorFlow', 'PyTorch']"
569,6,5,"['PyTorch', 'Flask', 'CUDA', 'NumPy', 'AWS', 'SQL']",2,3,21,67161,2025-06,2,"['Scikit-learn', 'PyTorch', 'FastAPI']"
570,4,6,"['LangChain', 'TensorFlow', 'Azure']",1,2,146,106546,2023-10,0,"['MLflow', 'BigQuery']"
571,6,7,"['TensorFlow', 'FastAPI', 'PyTorch', 'Hugging Face', 'Pandas']",1,3,62,137451,2024-11,1,"['TensorFlow', 'LangChain', 'Scikit-learn']"
572,2,0,"['Keras', 'NumPy', 'R', 'LangChain', 'Reinforcement Learning']",2,0,177,109614,2025-03,2,"['KDB+', 'BigQuery']"
573,2,3,"['SQL', 'LangChain', 'MLflow', 'AWS', 'Reinforcement Learning']",1,0,21,123263,2023-12,2,['MLflow']
574,5,3,"['Flask', 'LangChain', 'FastAPI']",2,3,97,40293,2025-02,2,"['FastAPI', 'BigQuery', 'MLflow']"
575,2,7,"['LangChain', 'SQL', 'Reinforcement Learning']",2,2,133,127698,2024-10,2,"['PyTorch', 'LangChain', 'KDB+']"
576,1,6,"['Power BI', 'AWS', 'TensorFlow', 'Keras', 'CUDA', 'Pandas']",1,2,43,136999,2025-05,1,"['KDB+', 'Scikit-learn']"
577,3,1,"['Power BI', 'Pandas', 'CUDA']",1,1,192,140731,2023-12,0,['TensorFlow']
578,3,5,"['Pandas', 'GCP', 'Hugging Face']",0,3,185,108142,2023-10,0,"['LangChain', 'BigQuery']"
579,0,7,"['AWS', 'Power BI', 'MLflow', 'Python', 'GCP']",0,2,70,92863,2024-01,0,"['MLflow', 'LangChain', 'BigQuery']"
580,2,3,"['Pandas', 'R', 'AWS', 'PyTorch']",2,3,119,49202,2024-11,0,['LangChain']
581,2,5,"['Hugging Face', 'Python', 'Pandas']",0,0,180,117905,2023-12,2,"['FastAPI', 'Scikit-learn', 'PyTorch']"
582,0,1,"['Power BI', 'Python', 'GCP', 'C++']",1,3,132,69967,2024-03,0,"['Scikit-learn', 'FastAPI', 'TensorFlow']"
583,6,3,"['CUDA', 'AWS', 'Scikit-learn']",1,2,46,117659,2024-05,1,['MLflow']
584,5,7,"['Python', 'LangChain', 'Pandas', 'TensorFlow']",1,2,11,59894,2023-12,2,['MLflow']
585,0,1,"['Hugging Face', 'Azure', 'NumPy']",2,3,174,137561,2025-07,1,"['LangChain', 'Scikit-learn', 'MLflow']"
586,1,5,"['R', 'Scikit-learn', 'SQL', 'LangChain']",0,2,180,116335,2024-02,2,['PyTorch']
587,5,6,"['FastAPI', 'SQL', 'Scikit-learn', 'NumPy', 'Excel', 'PyTorch']",2,1,143,96083,2024-05,1,"['PyTorch', 'BigQuery']"
588,1,6,"['Power BI', 'Scikit-learn', 'R', 'Python', 'Keras']",2,0,45,143953,2025-02,0,"['TensorFlow', 'KDB+', 'MLflow']"
589,2,4,"['C++', 'Reinforcement Learning', 'Azure', 'CUDA', 'MLflow']",0,3,86,75110,2024-05,2,['BigQuery']
590,4,4,"['Keras', 'AWS', 'NumPy', 'MLflow', 'TensorFlow', 'Flask']",1,0,116,121197,2025-02,0,"['Scikit-learn', 'KDB+', 'MLflow']"
591,6,6,"['Flask', 'Power BI', 'LangChain', 'Excel', 'MLflow', 'R']",2,1,162,54151,2024-03,1,"['FastAPI', 'TensorFlow', 'MLflow']"
592,0,7,"['Hugging Face', 'MLflow', 'CUDA', 'Python', 'Keras', 'SQL']",2,0,125,149692,2024-12,0,"['TensorFlow', 'FastAPI', 'Scikit-learn']"
593,3,2,"['Pandas', 'MLflow', 'TensorFlow', 'Power BI']",1,1,22,59190,2025-04,2,"['LangChain', 'KDB+', 'BigQuery']"
594,3,5,"['R', 'CUDA', 'TensorFlow']",2,2,151,109704,2024-12,0,"['PyTorch', 'LangChain']"
595,2,6,"['Azure', 'Excel', 'Power BI', 'SQL']",0,3,189,56774,2024-09,2,"['Scikit-learn', 'BigQuery', 'MLflow']"
596,3,5,"['LangChain', 'Reinforcement Learning', 'CUDA', 'R', 'SQL', 'Excel']",2,2,10,48914,2024-10,1,['KDB+']
597,6,3,"['Flask', 'Reinforcement Learning', 'Pandas', 'CUDA', 'Azure']",1,2,55,47206,2024-10,0,"['LangChain', 'Scikit-learn', 'FastAPI']"
598,6,1,"['TensorFlow', 'Power BI', 'PyTorch']",1,2,162,49463,2025-07,1,['BigQuery']
599,6,2,"['C++', 'Hugging Face', 'PyTorch', 'SQL']",1,3,189,77762,2024-03,0,"['MLflow', 'LangChain', 'KDB+']"
600,1,1,"['LangChain', 'AWS', 'Hugging Face', 'Flask', 'R']",0,3,83,67646,2025-06,1,"['KDB+', 'BigQuery']"
601,5,1,"['Python', 'TensorFlow', 'GCP', 'R']",2,3,175,66539,2025-08,1,"['Scikit-learn', 'MLflow']"
602,2,6,"['C++', 'GCP', 'Keras', 'AWS', 'TensorFlow', 'LangChain']",1,0,125,79160,2024-12,2,"['FastAPI', 'KDB+']"
603,0,1,"['Python', 'PyTorch', 'Hugging Face', 'CUDA', 'Azure', 'MLflow']",1,3,125,147705,2025-03,2,"['BigQuery', 'LangChain']"
604,1,0,"['GCP', 'Power BI', 'Azure', 'Python']",2,0,79,59811,2024-11,1,"['KDB+', 'TensorFlow', 'Scikit-learn']"
605,5,5,"['C++', 'FastAPI', 'Scikit-learn']",2,1,126,61213,2025-03,1,"['PyTorch', 'BigQuery', 'Scikit-learn']"
606,2,6,"['FastAPI', 'AWS', 'Power BI', 'Flask', 'SQL', 'MLflow']",2,1,174,127524,2025-05,2,"['FastAPI', 'BigQuery']"
607,4,7,"['Python', 'AWS', 'R', 'Pandas', 'Power BI', 'TensorFlow']",2,2,70,53455,2025-06,2,"['FastAPI', 'Scikit-learn', 'LangChain']"
608,3,5,"['Pandas', 'R', 'LangChain']",1,3,55,84521,2025-04,1,"['LangChain', 'PyTorch']"
609,5,4,"['Flask', 'C++', 'NumPy', 'Python', 'GCP']",0,3,59,68321,2024-04,0,['TensorFlow']
610,6,5,"['Hugging Face', 'Flask', 'MLflow']",1,0,122,73192,2025-06,2,"['BigQuery', 'PyTorch']"
611,2,3,"['Excel', 'Reinforcement Learning', 'Pandas', 'GCP', 'FastAPI']",0,0,11,43069,2025-01,2,['LangChain']
612,3,3,"['SQL', 'GCP', 'Scikit-learn']",2,2,169,103638,2024-05,2,"['Scikit-learn', 'MLflow']"
613,6,2,"['C++', 'Python', 'GCP']",0,2,154,148791,2025-05,0,"['FastAPI', 'Scikit-learn', 'PyTorch']"
614,3,2,"['NumPy', 'Pandas', 'Reinforcement Learning']",0,3,175,81873,2024-10,2,"['PyTorch', 'Scikit-learn', 'TensorFlow']"
615,5,0,"['Reinforcement Learning', 'Python', 'MLflow', 'Flask']",1,1,12,107701,2025-08,2,['LangChain']
616,5,2,"['Scikit-learn', 'LangChain', 'MLflow', 'FastAPI']",0,3,21,44261,2024-10,0,"['KDB+', 'FastAPI']"
617,6,3,"['Azure', 'MLflow', 'Pandas', 'PyTorch']",1,0,152,144418,2024-08,0,"['MLflow', 'PyTorch', 'LangChain']"
618,1,0,"['AWS', 'Keras', 'Flask', 'R', 'PyTorch', 'Python']",2,3,54,59575,2024-02,1,"['PyTorch', 'FastAPI']"
619,1,4,"['GCP', 'Keras', 'LangChain']",1,3,160,133037,2025-01,0,"['KDB+', 'FastAPI']"
620,0,5,"['R', 'Pandas', 'TensorFlow', 'Hugging Face', 'Python']",0,2,73,125183,2024-09,0,"['LangChain', 'KDB+']"
621,3,7,"['SQL', 'Excel', 'Azure', 'PyTorch', 'Scikit-learn']",1,0,45,98205,2024-04,2,"['Scikit-learn', 'LangChain', 'TensorFlow']"
622,2,5,"['SQL', 'NumPy', 'Python', 'Power BI', 'Scikit-learn']",2,0,22,83577,2024-08,0,['FastAPI']
623,6,6,"['Pandas', 'CUDA', 'R', 'Python', 'FastAPI', 'SQL']",0,2,57,126480,2025-04,1,"['MLflow', 'LangChain', 'KDB+']"
624,6,4,"['LangChain', 'Pandas', 'Flask', 'AWS']",2,1,140,95492,2024-05,1,"['Scikit-learn', 'BigQuery']"
625,1,3,"['Power BI', 'NumPy', 'LangChain', 'CUDA', 'Reinforcement Learning', 'Excel']",2,0,8,102113,2023-09,0,"['Scikit-learn', 'BigQuery']"
626,1,3,"['Keras', 'Scikit-learn', 'MLflow', 'Python', 'SQL', 'Excel']",2,3,122,143450,2024-04,0,"['TensorFlow', 'LangChain', 'MLflow']"
627,2,5,"['GCP', 'SQL', 'TensorFlow', 'Keras', 'Reinforcement Learning']",0,1,89,72389,2025-07,1,"['BigQuery', 'MLflow']"
628,0,0,"['Power BI', 'R', 'C++', 'TensorFlow', 'Python']",1,3,116,45843,2024-09,1,['Scikit-learn']
629,0,3,"['PyTorch', 'FastAPI', 'MLflow', 'C++', 'Pandas', 'NumPy']",0,2,183,132168,2024-07,2,"['MLflow', 'Scikit-learn']"
630,4,7,"['AWS', 'Pandas', 'FastAPI', 'R']",1,3,7,140975,2024-07,0,"['KDB+', 'LangChain', 'Scikit-learn']"
631,3,7,"['Pandas', 'Hugging Face', 'LangChain', 'Reinforcement Learning']",2,3,1,72912,2024-02,2,"['MLflow', 'PyTorch', 'Scikit-learn']"
632,2,4,"['Excel', 'Power BI', 'Azure', 'NumPy', 'Hugging Face', 'LangChain']",1,3,47,92203,2025-05,1,['Scikit-learn']
633,4,5,"['Power BI', 'TensorFlow', 'Python', 'Azure', 'C++', 'SQL']",1,0,120,132423,2025-04,1,"['FastAPI', 'MLflow', 'LangChain']"
634,4,7,"['MLflow', 'PyTorch', 'Azure', 'R', 'Python', 'GCP']",1,2,112,43526,2024-08,0,"['LangChain', 'KDB+', 'Scikit-learn']"
635,5,3,"['Pandas', 'AWS', 'MLflow', 'TensorFlow']",1,3,110,100197,2024-12,2,['TensorFlow']
636,0,3,"['Keras', 'FastAPI', 'Python', 'Excel', 'AWS']",2,2,176,104596,2025-06,2,"['PyTorch', 'TensorFlow', 'Scikit-learn']"
637,2,0,"['Power BI', 'MLflow', 'FastAPI', 'R', 'TensorFlow', 'NumPy']",1,3,76,128933,2024-02,2,"['TensorFlow', 'FastAPI', 'LangChain']"
638,0,6,"['GCP', 'FastAPI', 'Excel']",2,3,47,111144,2024-05,1,"['MLflow', 'TensorFlow']"
639,4,6,"['AWS', 'C++', 'MLflow']",0,3,176,147850,2025-02,0,['MLflow']
640,0,1,"['Keras', 'TensorFlow', 'R', 'Azure']",1,0,83,140539,2024-12,1,"['BigQuery', 'LangChain']"
641,3,5,"['AWS', 'Azure', 'Flask', 'Reinforcement Learning', 'TensorFlow', 'Excel']",2,0,60,60724,2024-02,2,"['FastAPI', 'KDB+', 'TensorFlow']"
642,1,6,"['Excel', 'Flask', 'Hugging Face', 'TensorFlow']",0,0,24,71064,2025-03,1,['MLflow']
643,2,1,"['CUDA', 'TensorFlow', 'FastAPI', 'Power BI', 'LangChain', 'MLflow']",0,0,67,41074,2024-06,2,['KDB+']
644,6,5,"['R', 'AWS', 'Python', 'MLflow']",0,2,113,88875,2024-04,1,"['FastAPI', 'BigQuery', 'PyTorch']"
645,6,1,"['Python', 'FastAPI', 'MLflow', 'LangChain']",1,2,14,42720,2023-10,0,['PyTorch']
646,2,5,"['LangChain', 'Python', 'AWS']",0,3,123,48928,2024-10,0,"['PyTorch', 'LangChain', 'KDB+']"
647,1,7,"['LangChain', 'R', 'Azure', 'CUDA']",0,0,170,62352,2023-10,2,"['Scikit-learn', 'BigQuery', 'PyTorch']"
648,5,4,"['Hugging Face', 'Scikit-learn', 'Excel', 'SQL']",0,3,83,71987,2023-11,1,['TensorFlow']
649,6,7,"['Reinforcement Learning', 'LangChain', 'CUDA']",2,2,91,96588,2024-04,2,"['BigQuery', 'Scikit-learn', 'FastAPI']"
650,1,6,"['Keras', 'C++', 'Azure', 'FastAPI', 'CUDA', 'Scikit-learn']",0,1,44,112609,2023-12,1,['Scikit-learn']
651,0,0,"['CUDA', 'C++', 'Excel']",2,3,12,63732,2025-07,1,"['BigQuery', 'TensorFlow', 'FastAPI']"
652,4,0,"['R', 'Hugging Face', 'Excel', 'Keras']",0,1,66,139447,2024-12,1,['FastAPI']
653,2,5,"['LangChain', 'TensorFlow', 'C++', 'Power BI', 'MLflow', 'AWS']",1,0,116,130455,2024-02,0,"['LangChain', 'Scikit-learn', 'PyTorch']"
654,4,2,"['Python', 'Keras', 'CUDA', 'PyTorch', 'MLflow', 'NumPy']",1,1,43,69015,2024-07,1,['PyTorch']
655,6,7,"['C++', 'Power BI', 'Pandas']",1,3,188,70351,2025-06,0,['BigQuery']
656,2,6,"['Scikit-learn', 'PyTorch', 'R', 'FastAPI', 'Excel', 'NumPy']",1,2,134,49069,2025-06,1,"['KDB+', 'BigQuery', 'FastAPI']"
657,2,6,"['Hugging Face', 'FastAPI', 'C++', 'CUDA']",1,2,84,74463,2024-11,2,['BigQuery']
658,4,7,"['Reinforcement Learning', 'TensorFlow', 'SQL', 'Flask', 'C++', 'Keras']",0,2,193,137479,2025-06,0,"['LangChain', 'MLflow', 'KDB+']"
659,3,0,"['Pandas', 'NumPy', 'TensorFlow', 'R']",0,2,93,51735,2025-06,0,"['TensorFlow', 'LangChain']"
660,2,5,"['Azure', 'PyTorch', 'R', 'Scikit-learn', 'AWS', 'Excel']",1,2,5,105183,2025-01,2,['BigQuery']
661,3,5,"['Excel', 'SQL', 'GCP', 'Hugging Face', 'R']",0,2,184,80869,2024-12,2,"['FastAPI', 'LangChain']"
662,4,2,"['Excel', 'CUDA', 'GCP', 'Reinforcement Learning', 'TensorFlow']",2,2,172,94999,2025-01,0,['KDB+']
663,0,1,"['Keras', 'Hugging Face', 'R']",2,2,90,98295,2025-03,2,['FastAPI']
664,0,1,"['Azure', 'Scikit-learn', 'Python', 'AWS', 'LangChain', 'C++']",0,3,109,84355,2023-11,2,['TensorFlow']
665,4,6,"['PyTorch', 'Excel', 'Scikit-learn', 'TensorFlow']",0,2,2,108703,2025-05,1,['BigQuery']
666,5,4,"['Scikit-learn', 'GCP', 'AWS', 'FastAPI', 'Excel', 'Pandas']",0,2,60,45561,2025-01,0,['Scikit-learn']
667,3,6,"['CUDA', 'R', 'GCP']",2,1,184,50662,2024-11,0,"['BigQuery', 'KDB+']"
668,2,3,"['FastAPI', 'C++', 'Azure', 'Reinforcement Learning', 'CUDA']",2,2,121,75939,2025-02,0,"['PyTorch', 'BigQuery']"
669,0,5,"['LangChain', 'Azure', 'CUDA', 'GCP']",0,3,159,75976,2024-08,1,"['KDB+', 'LangChain', 'PyTorch']"
