industry,job_title,skills_required,experience_level,employment_type,posted_date,company_size,tools_preferred,salary_min,country
Retail,Quant Researcher,"['Reinforcement Learning', 'AWS', 'Azure', 'Pandas', 'Keras', 'Power BI']",Entry,Full-time,2024-03-21,Mid,"['TensorFlow', 'BigQuery']",72489,MC
Education,NLP Engineer,"['Keras', 'NumPy', 'Reinforcement Learning', 'Azure', 'GCP', 'Power BI']",Senior,Full-time,2024-03-21,Startup,['BigQuery'],49864,BS
Automotive,Quant Researcher,"['Reinforcement Learning', 'Excel', 'NumPy', 'PyTorch', 'Pandas', 'SQL']",Entry,Internship,2024-03-21,Large,"['FastAPI', 'LangChain']",92698,TN
Tech,Computer Vision Engineer,"['Scikit-learn', 'CUDA', 'SQL', 'Pandas']",Senior,Full-time,2024-03-22,Large,"['FastAPI', 'KDB+', 'TensorFlow']",78523,CU
E-commerce,Data Scientist,"['LangChain', 'AWS', 'Scikit-learn', 'Flask']",Entry,Internship,2024-03-22,Startup,"['BigQuery', 'KDB+']",126486,US
Education,AI Product Manager,"['FastAPI', 'CUDA', 'GCP', 'Keras', 'MLflow', 'C++']",Senior,Internship,2024-03-22,Startup,['Scikit-learn'],73318,AD
Education,Data Scientist,"['Python', 'Power BI', 'Flask']",Senior,Full-time,2024-03-22,Large,"['LangChain', 'KDB+']",116015,IN
Automotive,Quant Researcher,"['Power BI', 'Pandas', 'Hugging Face', 'PyTorch']",Entry,Internship,2024-03-23,Large,['BigQuery'],42100,PY
Finance,Data Scientist,"['Scikit-learn', 'GCP', 'NumPy', 'Flask', 'Excel', 'AWS']",Entry,Remote,2024-03-23,Startup,"['FastAPI', 'Scikit-learn']",78016,NZ
E-commerce,Quant Researcher,"['Reinforcement Learning', 'C++', 'TensorFlow']",Mid,Contract,2024-03-23,Large,['PyTorch'],54468,SG
Tech,Computer Vision Engineer,"['R', 'LangChain', 'FastAPI', 'Reinforcement Learning', 'Pandas', 'GCP']",Mid,Full-time,2024-03-23,Startup,"['LangChain', 'FastAPI']",49623,SZ
E-commerce,NLP Engineer,"['Flask', 'GCP', 'Keras', 'LangChain', 'PyTorch']",Senior,Remote,2024-03-23,Startup,"['Scikit-learn', 'LangChain']",83082,KG
Education,Quant Researcher,"['NumPy', 'Power BI', 'LangChain', 'C++', 'Keras', 'SQL']",Mid,Contract,2024-03-24,Mid,['KDB+'],68140,GB
Healthcare,Quant Researcher,"['Excel', 'Keras', 'GCP', 'Scikit-learn', 'Hugging Face', 'Pandas']",Mid,Full-time,2024-03-24,Startup,"['KDB+', 'LangChain', 'TensorFlow']",107796,BO
E-commerce,AI Product Manager,"['LangChain', 'Reinforcement Learning', 'FastAPI', 'Power BI', 'AWS']",Entry,Internship,2024-03-25,Mid,"['KDB+', 'TensorFlow', 'PyTorch']",57113,US
Finance,Computer Vision Engineer,"['Excel', 'Power BI', 'C++', 'R', 'Hugging Face', 'SQL']",Entry,Remote,2024-03-25,Startup,"['FastAPI', 'BigQuery']",129072,LK
Tech,AI Product Manager,"['Excel', 'Pandas', 'Power BI', 'NumPy', 'Reinforcement Learning', 'C++']",Senior,Internship,2024-03-25,Startup,['Scikit-learn'],93505,UZ
Automotive,Quant Researcher,"['PyTorch', 'Python', 'GCP', 'MLflow']",Senior,Full-time,2024-03-26,Large,"['Scikit-learn', 'BigQuery']",81464,VU
Automotive,AI Researcher,"['Power BI', 'Python', 'GCP', 'C++']",Mid,Full-time,2024-03-26,Large,"['Scikit-learn', 'FastAPI', 'TensorFlow']",69967,NR
Tech,Computer Vision Engineer,"['C++', 'Hugging Face', 'PyTorch', 'SQL']",Mid,Full-time,2024-03-26,Large,"['MLflow', 'LangChain', 'KDB+']",77762,VU
Education,NLP Engineer,"['Azure', 'Power BI', 'GCP', 'LangChain']",Entry,Internship,2024-03-27,Mid,"['BigQuery', 'LangChain']",118562,IT
Tech,AI Product Manager,"['MLflow', 'Keras', 'Scikit-learn', 'R', 'GCP']",Mid,Full-time,2024-03-27,Startup,"['KDB+', 'TensorFlow', 'FastAPI']",94393,LV
Finance,ML Engineer,"['TensorFlow', 'C++', 'Excel', 'LangChain', 'Power BI', 'Azure']",Senior,Internship,2024-03-28,Large,['FastAPI'],146648,FR
Retail,NLP Engineer,"['Reinforcement Learning', 'TensorFlow', 'Pandas', 'Keras', 'Python', 'PyTorch']",Mid,Internship,2024-03-28,Startup,['Scikit-learn'],53719,ZA
Finance,Data Analyst,"['NumPy', 'MLflow', 'PyTorch', 'Power BI', 'Scikit-learn', 'C++']",Entry,Remote,2024-03-29,Large,"['MLflow', 'LangChain']",143526,DO
Finance,Quant Researcher,"['Scikit-learn', 'Excel', 'Azure', 'Flask', 'Hugging Face', 'Pandas']",Senior,Full-time,2024-03-30,Startup,"['PyTorch', 'LangChain', 'KDB+']",81950,DE
Retail,ML Engineer,"['Excel', 'Flask', 'FastAPI']",Mid,Internship,2024-03-30,Large,['Scikit-learn'],122699,OM
Retail,ML Engineer,"['AWS', 'LangChain', 'Hugging Face', 'Pandas']",Entry,Remote,2024-03-30,Large,['LangChain'],87504,ES
E-commerce,ML Engineer,"['Reinforcement Learning', 'NumPy', 'LangChain', 'GCP']",Entry,Full-time,2024-03-31,Startup,"['PyTorch', 'KDB+']",122431,TH
Tech,AI Product Manager,"['NumPy', 'Power BI', 'LangChain', 'GCP', 'Python']",Mid,Contract,2024-03-31,Mid,"['PyTorch', 'MLflow', 'BigQuery']",72050,VC
Finance,Computer Vision Engineer,"['TensorFlow', 'Excel', 'NumPy', 'Reinforcement Learning', 'MLflow', 'Power BI']",Senior,Remote,2024-03-31,Startup,['BigQuery'],67907,LC
Automotive,Computer Vision Engineer,"['GCP', 'C++', 'Excel']",Entry,Contract,2024-04-01,Large,"['TensorFlow', 'Scikit-learn']",97714,MC
Tech,Quant Researcher,"['Azure', 'Scikit-learn', 'Keras', 'R', 'Hugging Face']",Mid,Contract,2024-04-01,Mid,"['BigQuery', 'KDB+']",43828,BO
Automotive,AI Researcher,"['PyTorch', 'Excel', 'CUDA', 'Keras']",Mid,Remote,2024-04-01,Mid,"['LangChain', 'FastAPI']",145229,JO
Tech,ML Engineer,"['Pandas', 'FastAPI', 'TensorFlow', 'SQL']",Senior,Full-time,2024-04-02,Large,['MLflow'],146286,VC
E-commerce,Data Analyst,"['Reinforcement Learning', 'Scikit-learn', 'Hugging Face', 'MLflow']",Entry,Contract,2024-04-03,Large,['FastAPI'],49324,PT
Healthcare,AI Researcher,"['NumPy', 'Scikit-learn', 'SQL', 'LangChain', 'C++']",Senior,Internship,2024-04-03,Startup,"['Scikit-learn', 'LangChain']",107785,KH
Finance,Data Scientist,"['TensorFlow', 'MLflow', 'SQL', 'PyTorch']",Mid,Full-time,2024-04-04,Large,['MLflow'],84079,PG
Tech,Computer Vision Engineer,"['GCP', 'Flask', 'PyTorch', 'AWS', 'Excel', 'Keras']",Mid,Internship,2024-04-04,Mid,"['KDB+', 'FastAPI', 'MLflow']",125228,JM
Education,NLP Engineer,"['Reinforcement Learning', 'MLflow', 'Scikit-learn', 'Flask', 'Python', 'FastAPI']",Mid,Contract,2024-04-04,Mid,"['FastAPI', 'KDB+', 'LangChain']",143188,BW
E-commerce,Data Analyst,"['TensorFlow', 'R', 'Hugging Face']",Mid,Internship,2024-04-05,Startup,['Scikit-learn'],69403,BJ
Tech,ML Engineer,"['R', 'AWS', 'Python', 'MLflow']",Entry,Internship,2024-04-05,Mid,"['FastAPI', 'BigQuery', 'PyTorch']",88875,MK
Automotive,NLP Engineer,"['Hugging Face', 'Scikit-learn', 'Reinforcement Learning']",Senior,Remote,2024-04-06,Startup,['TensorFlow'],124669,LU
Tech,Data Scientist,"['Keras', 'Flask', 'Scikit-learn', 'Reinforcement Learning', 'Power BI', 'AWS']",Senior,Full-time,2024-04-06,Mid,"['MLflow', 'Scikit-learn', 'BigQuery']",80834,CD
Healthcare,Data Analyst,"['Keras', 'TensorFlow', 'MLflow', 'NumPy', 'Pandas', 'Scikit-learn']",Senior,Contract,2024-04-06,Large,"['LangChain', 'FastAPI', 'PyTorch']",142266,NI
Education,NLP Engineer,"['AWS', 'Power BI', 'Pandas', 'TensorFlow']",Mid,Full-time,2024-04-07,Large,"['MLflow', 'BigQuery', 'FastAPI']",119065,FJ
Healthcare,ML Engineer,"['Keras', 'NumPy', 'Flask', 'Python']",Mid,Full-time,2024-04-07,Startup,['FastAPI'],125724,LS
Tech,ML Engineer,"['TensorFlow', 'Keras', 'R']",Mid,Internship,2024-04-07,Large,"['MLflow', 'TensorFlow', 'KDB+']",132865,AR
Automotive,AI Product Manager,"['LangChain', 'FastAPI', 'SQL']",Senior,Internship,2024-04-08,Large,"['BigQuery', 'KDB+']",137229,ET
Tech,Quant Researcher,"['TensorFlow', 'R', 'Python']",Senior,Internship,2024-04-08,Mid,"['MLflow', 'KDB+']",77543,BF
Tech,NLP Engineer,"['Keras', 'MLflow', 'FastAPI', 'Python', 'Scikit-learn', 'Reinforcement Learning']",Entry,Remote,2024-04-08,Large,['Scikit-learn'],84254,MH
Retail,AI Researcher,"['Reinforcement Learning', 'MLflow', 'Hugging Face', 'CUDA', 'Flask']",Senior,Full-time,2024-04-09,Startup,"['MLflow', 'BigQuery', 'LangChain']",122910,BN
Finance,ML Engineer,"['Flask', 'Azure', 'SQL', 'Hugging Face', 'Keras', 'C++']",Senior,Remote,2024-04-09,Large,['PyTorch'],114821,PT
E-commerce,Data Scientist,"['Flask', 'C++', 'CUDA', 'R']",Senior,Internship,2024-04-10,Startup,"['LangChain', 'Scikit-learn']",93070,BR
Automotive,Quant Researcher,"['PyTorch', 'MLflow', 'Scikit-learn']",Entry,Internship,2024-04-10,Startup,"['MLflow', 'LangChain', 'PyTorch']",58051,FJ
Retail,AI Researcher,"['MLflow', 'Power BI', 'Keras', 'Flask', 'CUDA']",Mid,Full-time,2024-04-10,Mid,"['Scikit-learn', 'KDB+', 'BigQuery']",88375,CV
Tech,AI Researcher,"['PyTorch', 'R', 'Python', 'GCP', 'CUDA', 'C++']",Senior,Internship,2024-04-10,Large,['KDB+'],63340,ES
Automotive,Data Scientist,"['AWS', 'SQL', 'CUDA', 'GCP', 'TensorFlow', 'C++']",Mid,Contract,2024-04-10,Large,['KDB+'],107898,MV
Healthcare,Computer Vision Engineer,"['FastAPI', 'LangChain', 'SQL', 'TensorFlow', 'R']",Mid,Remote,2024-04-11,Startup,['BigQuery'],40493,UZ
Tech,Computer Vision Engineer,"['Excel', 'TensorFlow', 'Azure', 'Reinforcement Learning']",Entry,Contract,2024-04-11,Large,"['BigQuery', 'FastAPI']",65169,KE
Finance,Quant Researcher,"['SQL', 'Excel', 'Azure', 'PyTorch', 'Scikit-learn']",Mid,Contract,2024-04-11,Startup,"['Scikit-learn', 'LangChain', 'TensorFlow']",98205,DK
Finance,Quant Researcher,"['AWS', 'Flask', 'MLflow', 'FastAPI', 'Azure']",Senior,Remote,2024-04-11,Large,"['LangChain', 'KDB+']",149975,IE
Education,Data Scientist,"['PyTorch', 'Power BI', 'Scikit-learn', 'Flask', 'NumPy', 'Keras']",Mid,Contract,2024-04-11,Large,"['FastAPI', 'MLflow']",130051,NI
E-commerce,Data Analyst,"['Keras', 'Scikit-learn', 'MLflow', 'Python', 'SQL', 'Excel']",Senior,Full-time,2024-04-12,Large,"['TensorFlow', 'LangChain', 'MLflow']",143450,MX
Healthcare,Quant Researcher,"['TensorFlow', 'FastAPI', 'SQL', 'Keras']",Senior,Internship,2024-04-12,Mid,['KDB+'],129815,TD
Retail,AI Researcher,"['R', 'C++', 'Keras', 'Excel', 'Azure']",Mid,Remote,2024-04-13,Large,"['MLflow', 'PyTorch', 'Scikit-learn']",58659,PW
E-commerce,AI Product Manager,"['NumPy', 'R', 'Reinforcement Learning', 'Pandas', 'AWS', 'SQL']",Mid,Remote,2024-04-14,Large,"['MLflow', 'BigQuery', 'KDB+']",108949,MM
Finance,AI Researcher,"['CUDA', 'GCP', 'Flask', 'Excel']",Senior,Contract,2024-04-14,Startup,"['BigQuery', 'LangChain']",89875,GR
E-commerce,AI Product Manager,"['LangChain', 'NumPy', 'C++']",Entry,Contract,2024-04-14,Startup,"['PyTorch', 'TensorFlow', 'KDB+']",95361,AU
Healthcare,AI Product Manager,"['SQL', 'FastAPI', 'CUDA', 'GCP', 'LangChain', 'Scikit-learn']",Entry,Internship,2024-04-14,Startup,['TensorFlow'],91133,BW
Healthcare,ML Engineer,"['Azure', 'Hugging Face', 'C++', 'Power BI']",Mid,Full-time,2024-04-14,Mid,"['FastAPI', 'BigQuery']",44006,LK
Retail,Data Scientist,"['AWS', 'Power BI', 'R', 'NumPy', 'Scikit-learn', 'LangChain']",Senior,Internship,2024-04-15,Startup,"['KDB+', 'FastAPI', 'LangChain']",55546,CZ
Retail,Data Scientist,"['Flask', 'C++', 'NumPy', 'Python', 'GCP']",Entry,Full-time,2024-04-15,Large,['TensorFlow'],68321,GA
Tech,Computer Vision Engineer,"['LangChain', 'TensorFlow', 'AWS', 'Reinforcement Learning']",Senior,Internship,2024-04-16,Startup,"['TensorFlow', 'BigQuery']",81580,JM
Education,AI Product Manager,"['Scikit-learn', 'MLflow', 'Keras', 'Hugging Face']",Senior,Full-time,2024-04-16,Mid,"['PyTorch', 'FastAPI']",100873,SM
Education,AI Researcher,"['SQL', 'NumPy', 'GCP']",Mid,Internship,2024-04-16,Large,"['MLflow', 'TensorFlow', 'PyTorch']",101178,QA
Education,Data Analyst,"['Reinforcement Learning', 'Pandas', 'AWS']",Senior,Remote,2024-04-17,Mid,"['FastAPI', 'KDB+', 'BigQuery']",119460,IL
Healthcare,Data Analyst,"['NumPy', 'R', 'Excel', 'Scikit-learn', 'Flask', 'LangChain']",Senior,Full-time,2024-04-17,Large,['KDB+'],142640,FJ
Tech,NLP Engineer,"['AWS', 'R', 'Pandas', 'Power BI', 'SQL', 'Scikit-learn']",Mid,Internship,2024-04-17,Mid,"['KDB+', 'LangChain']",120347,VU
Tech,Quant Researcher,"['NumPy', 'PyTorch', 'R', 'Flask', 'Python', 'Keras']",Senior,Internship,2024-04-18,Startup,['PyTorch'],55587,AU
Healthcare,NLP Engineer,"['TensorFlow', 'Reinforcement Learning', 'Python', 'C++', 'CUDA']",Entry,Remote,2024-04-19,Mid,"['PyTorch', 'TensorFlow', 'Scikit-learn']",90182,MU
Automotive,AI Product Manager,"['SQL', 'C++', 'R', 'Scikit-learn', 'NumPy']",Senior,Full-time,2024-04-19,Large,['Scikit-learn'],79029,SL
Healthcare,Quant Researcher,"['PyTorch', 'Flask', 'Scikit-learn', 'AWS']",Senior,Full-time,2024-04-20,Startup,['KDB+'],64779,SB
Retail,AI Product Manager,"['Azure', 'Power BI', 'GCP', 'LangChain']",Entry,Internship,2024-04-20,Large,"['TensorFlow', 'LangChain', 'PyTorch']",48904,TN
Retail,ML Engineer,"['GCP', 'TensorFlow', 'Flask', 'Azure']",Mid,Internship,2024-04-20,Mid,"['BigQuery', 'KDB+', 'TensorFlow']",98287,IQ
Finance,AI Researcher,"['FastAPI', 'NumPy', 'Excel']",Entry,Full-time,2024-04-21,Mid,"['MLflow', 'TensorFlow']",115140,LC
Retail,Computer Vision Engineer,"['R', 'Python', 'Hugging Face', 'Excel', 'Azure']",Entry,Full-time,2024-04-21,Large,"['Scikit-learn', 'KDB+', 'TensorFlow']",89082,SM
Finance,Quant Researcher,"['Keras', 'Pandas', 'R', 'Excel', 'SQL']",Mid,Contract,2024-04-22,Mid,"['MLflow', 'PyTorch', 'BigQuery']",88347,CV
Finance,AI Product Manager,"['LangChain', 'NumPy', 'CUDA']",Senior,Contract,2024-04-22,Startup,"['BigQuery', 'KDB+']",131442,AG
Finance,NLP Engineer,"['Flask', 'FastAPI', 'Power BI']",Senior,Internship,2024-04-22,Large,['MLflow'],90382,SD
Education,AI Product Manager,"['MLflow', 'LangChain', 'Hugging Face', 'Azure', 'Flask']",Mid,Full-time,2024-04-23,Mid,['TensorFlow'],90611,NI
Retail,AI Researcher,"['MLflow', 'SQL', 'Excel']",Mid,Contract,2024-04-23,Mid,"['FastAPI', 'LangChain', 'TensorFlow']",130152,NG
Retail,Data Scientist,"['Flask', 'Reinforcement Learning', 'Pandas', 'Hugging Face', 'Keras']",Senior,Full-time,2024-04-23,Startup,"['BigQuery', 'Scikit-learn', 'MLflow']",141644,BE
Education,AI Researcher,"['Hugging Face', 'SQL', 'LangChain', 'FastAPI', 'Flask']",Senior,Remote,2024-04-23,Startup,"['MLflow', 'TensorFlow']",70656,BH
Finance,Computer Vision Engineer,"['Excel', 'Power BI', 'GCP', 'AWS', 'CUDA', 'C++']",Senior,Full-time,2024-04-24,Mid,"['Scikit-learn', 'TensorFlow']",127777,BY
Education,Computer Vision Engineer,"['FastAPI', 'AWS', 'Hugging Face', 'R']",Mid,Remote,2024-04-25,Startup,['PyTorch'],126438,BF
Education,Quant Researcher,"['Flask', 'Keras', 'FastAPI', 'Azure', 'TensorFlow']",Mid,Internship,2024-04-25,Mid,"['PyTorch', 'KDB+', 'MLflow']",91063,BH
Retail,Computer Vision Engineer,"['Reinforcement Learning', 'PyTorch', 'Pandas', 'Scikit-learn']",Senior,Internship,2024-04-25,Mid,['Scikit-learn'],41541,DJ
E-commerce,ML Engineer,"['AWS', 'PyTorch', 'Scikit-learn']",Senior,Remote,2024-04-26,Startup,['Scikit-learn'],112045,DE
Education,AI Researcher,"['C++', 'TensorFlow', 'AWS']",Entry,Contract,2024-04-26,Large,"['PyTorch', 'MLflow']",139066,CY
Retail,Quant Researcher,"['AWS', 'CUDA', 'GCP', 'Flask', 'FastAPI', 'NumPy']",Mid,Contract,2024-04-27,Startup,"['FastAPI', 'Scikit-learn']",137547,LK
Education,Quant Researcher,"['FastAPI', 'SQL', 'Scikit-learn']",Mid,Contract,2024-04-27,Startup,['LangChain'],93507,PG
Finance,Computer Vision Engineer,"['C++', 'Hugging Face', 'TensorFlow']",Senior,Full-time,2024-04-27,Startup,"['PyTorch', 'MLflow']",110000,GT
Education,NLP Engineer,"['CUDA', 'Keras', 'Hugging Face', 'Reinforcement Learning']",Senior,Internship,2024-04-27,Mid,['MLflow'],92504,GE
Retail,ML Engineer,"['Azure', 'LangChain', 'R']",Entry,Internship,2024-04-28,Large,['PyTorch'],118961,GT
Healthcare,Computer Vision Engineer,"['PyTorch', 'AWS', 'LangChain', 'Pandas', 'GCP']",Mid,Internship,2024-04-28,Mid,"['FastAPI', 'LangChain']",100455,TL
Automotive,AI Product Manager,"['Excel', 'MLflow', 'Hugging Face', 'Flask', 'Power BI']",Entry,Internship,2024-04-29,Startup,['BigQuery'],138184,VU
Tech,Quant Researcher,"['Reinforcement Learning', 'LangChain', 'CUDA']",Senior,Internship,2024-04-29,Startup,"['BigQuery', 'Scikit-learn', 'FastAPI']",96588,KN
Automotive,Data Analyst,"['C++', 'NumPy', 'Excel', 'Keras', 'TensorFlow']",Entry,Internship,2024-04-30,Large,"['FastAPI', 'Scikit-learn']",85501,GR
Retail,ML Engineer,"['CUDA', 'Power BI', 'LangChain', 'Scikit-learn']",Senior,Full-time,2024-04-30,Large,"['BigQuery', 'MLflow']",139424,GT
Finance,AI Product Manager,"['Scikit-learn', 'Keras', 'C++']",Mid,Internship,2024-05-01,Mid,"['BigQuery', 'MLflow', 'KDB+']",87618,ML
Tech,ML Engineer,"['PyTorch', 'Reinforcement Learning', 'FastAPI', 'R', 'C++']",Entry,Full-time,2024-05-01,Startup,['BigQuery'],144980,QA
Finance,Data Scientist,"['PyTorch', 'Excel', 'Scikit-learn', 'MLflow']",Mid,Internship,2024-05-01,Mid,"['MLflow', 'TensorFlow']",120028,MM
Education,AI Researcher,"['C++', 'R', 'NumPy', 'PyTorch', 'GCP', 'Hugging Face']",Mid,Remote,2024-05-02,Mid,['LangChain'],84627,FR
E-commerce,Data Scientist,"['SQL', 'Flask', 'AWS', 'Reinforcement Learning', 'FastAPI', 'LangChain']",Mid,Internship,2024-05-03,Startup,"['LangChain', 'KDB+', 'PyTorch']",41433,TL
Automotive,Data Analyst,"['PyTorch', 'Pandas', 'Reinforcement Learning']",Mid,Contract,2024-05-03,Mid,['KDB+'],50145,JO
Education,Quant Researcher,"['Power BI', 'Hugging Face', 'GCP']",Senior,Contract,2024-05-04,Large,['Scikit-learn'],134169,ET
Retail,Data Analyst,"['Hugging Face', 'SQL', 'LangChain', 'Reinforcement Learning']",Entry,Remote,2024-05-04,Mid,['LangChain'],134169,SY
E-commerce,Computer Vision Engineer,"['Excel', 'Keras', 'Pandas', 'CUDA', 'SQL', 'Hugging Face']",Senior,Internship,2024-05-05,Startup,"['MLflow', 'KDB+', 'BigQuery']",70448,DK
Automotive,AI Product Manager,"['SQL', 'Pandas', 'FastAPI', 'C++', 'Keras', 'Python']",Senior,Internship,2024-05-05,Startup,"['MLflow', 'Scikit-learn', 'LangChain']",48848,VC
Education,Data Scientist,"['Python', 'Flask', 'Azure', 'MLflow', 'Keras', 'Power BI']",Mid,Contract,2024-05-05,Mid,"['BigQuery', 'TensorFlow']",148075,GT
Retail,Data Scientist,"['Excel', 'R', 'Reinforcement Learning', 'Python', 'Power BI', 'FastAPI']",Entry,Contract,2024-05-06,Mid,['TensorFlow'],129888,MD
Tech,Data Scientist,"['Reinforcement Learning', 'FastAPI', 'AWS']",Entry,Remote,2024-05-06,Large,['FastAPI'],85533,CI
Finance,NLP Engineer,"['Power BI', 'CUDA', 'C++', 'Pandas', 'SQL', 'AWS']",Mid,Full-time,2024-05-07,Large,"['FastAPI', 'KDB+', 'Scikit-learn']",75575,TD
Automotive,NLP Engineer,"['GCP', 'FastAPI', 'Excel']",Senior,Full-time,2024-05-07,Mid,"['MLflow', 'TensorFlow']",111144,DO
Tech,AI Product Manager,"['Scikit-learn', 'C++', 'Pandas', 'LangChain', 'AWS', 'R']",Mid,Full-time,2024-05-08,Large,"['TensorFlow', 'BigQuery', 'MLflow']",50908,FI
Retail,AI Product Manager,"['Python', 'FastAPI', 'Scikit-learn', 'Hugging Face', 'Power BI', 'Flask']",Entry,Remote,2024-05-08,Startup,['LangChain'],50457,SB
E-commerce,Computer Vision Engineer,"['Python', 'Pandas', 'Excel', 'TensorFlow', 'Azure']",Entry,Remote,2024-05-08,Startup,"['TensorFlow', 'PyTorch']",45587,CZ
E-commerce,Data Analyst,"['NumPy', 'Scikit-learn', 'FastAPI', 'Power BI', 'Pandas']",Entry,Remote,2024-05-08,Mid,['PyTorch'],145218,IQ
Automotive,ML Engineer,"['AWS', 'Azure', 'Reinforcement Learning', 'NumPy']",Senior,Contract,2024-05-08,Startup,['LangChain'],84230,LT
Healthcare,Data Scientist,"['SQL', 'R', 'MLflow', 'Flask', 'Reinforcement Learning', 'Python']",Mid,Full-time,2024-05-08,Large,"['BigQuery', 'LangChain', 'KDB+']",84163,KR
Retail,Data Scientist,"['GCP', 'Excel', 'Scikit-learn', 'Azure']",Mid,Full-time,2024-05-08,Startup,"['Scikit-learn', 'LangChain', 'MLflow']",65347,MY
E-commerce,Data Scientist,"['Hugging Face', 'TensorFlow', 'FastAPI', 'Excel', 'Pandas']",Senior,Remote,2024-05-08,Large,"['FastAPI', 'MLflow', 'Scikit-learn']",53775,IN
Finance,Data Scientist,"['NumPy', 'Python', 'PyTorch', 'C++', 'AWS']",Senior,Remote,2024-05-09,Mid,"['Scikit-learn', 'BigQuery', 'KDB+']",42308,YE
Tech,ML Engineer,"['Flask', 'NumPy', 'Scikit-learn']",Entry,Full-time,2024-05-09,Large,['LangChain'],83724,DO
Tech,Data Analyst,"['Power BI', 'MLflow', 'TensorFlow', 'AWS', 'Hugging Face']",Senior,Remote,2024-05-10,Mid,['FastAPI'],56886,DK
Finance,Data Analyst,"['SQL', 'GCP', 'Scikit-learn']",Senior,Internship,2024-05-10,Startup,"['Scikit-learn', 'MLflow']",103638,TH
Healthcare,ML Engineer,"['TensorFlow', 'PyTorch', 'FastAPI', 'Hugging Face', 'LangChain', 'AWS']",Senior,Contract,2024-05-12,Large,"['TensorFlow', 'PyTorch', 'LangChain']",43723,GD
Tech,Data Scientist,"['LangChain', 'Pandas', 'Flask', 'AWS']",Senior,Remote,2024-05-12,Mid,"['Scikit-learn', 'BigQuery']",95492,PL
Finance,NLP Engineer,"['LangChain', 'CUDA', 'Excel', 'Flask']",Entry,Internship,2024-05-12,Mid,"['MLflow', 'FastAPI']",55784,SG
E-commerce,NLP Engineer,"['Excel', 'FastAPI', 'Keras', 'PyTorch', 'Azure', 'Flask']",Entry,Contract,2024-05-12,Large,"['PyTorch', 'TensorFlow', 'MLflow']",76728,GE
Finance,AI Researcher,"['Power BI', 'Hugging Face', 'Keras', 'Reinforcement Learning', 'TensorFlow', 'Excel']",Entry,Contract,2024-05-13,Mid,['LangChain'],122640,DJ
Education,Data Scientist,"['C++', 'Reinforcement Learning', 'Azure', 'CUDA', 'MLflow']",Entry,Full-time,2024-05-13,Startup,['BigQuery'],75110,KE
Education,Data Scientist,"['PyTorch', 'SQL', 'CUDA', 'Excel']",Mid,Full-time,2024-05-13,Large,"['KDB+', 'BigQuery']",104274,SI
Healthcare,ML Engineer,"['C++', 'PyTorch', 'NumPy', 'LangChain', 'AWS', 'Keras']",Mid,Remote,2024-05-14,Startup,['TensorFlow'],61799,KZ
E-commerce,NLP Engineer,"['Pandas', 'MLflow', 'C++', 'Reinforcement Learning', 'SQL', 'Python']",Mid,Internship,2024-05-14,Startup,"['LangChain', 'MLflow']",125699,AU
E-commerce,Computer Vision Engineer,"['CUDA', 'SQL', 'Keras', 'C++']",Mid,Remote,2024-05-16,Mid,"['FastAPI', 'Scikit-learn', 'TensorFlow']",58872,SE
Retail,NLP Engineer,"['FastAPI', 'SQL', 'Scikit-learn', 'NumPy', 'Excel', 'PyTorch']",Senior,Remote,2024-05-16,Mid,"['PyTorch', 'BigQuery']",96083,PW
Healthcare,ML Engineer,"['FastAPI', 'Pandas', 'MLflow']",Mid,Full-time,2024-05-16,Mid,['FastAPI'],106176,ST
Healthcare,AI Researcher,"['R', 'Excel', 'FastAPI', 'Pandas', 'TensorFlow', 'NumPy']",Entry,Full-time,2024-05-17,Large,"['LangChain', 'FastAPI', 'MLflow']",87576,BR
Retail,Computer Vision Engineer,"['TensorFlow', 'Python', 'AWS', 'Reinforcement Learning', 'NumPy', 'CUDA']",Senior,Internship,2024-05-18,Large,['TensorFlow'],110876,KI
Retail,Data Scientist,"['MLflow', 'PyTorch', 'Scikit-learn']",Senior,Internship,2024-05-19,Large,"['LangChain', 'KDB+']",116202,SR
Finance,AI Product Manager,"['SQL', 'R', 'TensorFlow', 'Flask']",Entry,Internship,2024-05-19,Mid,"['KDB+', 'LangChain']",99708,AF
Automotive,ML Engineer,"['NumPy', 'AWS', 'Excel']",Mid,Contract,2024-05-19,Large,['TensorFlow'],100745,BE
Retail,NLP Engineer,"['C++', 'SQL', 'NumPy', 'R', 'Keras']",Senior,Internship,2024-05-19,Startup,"['MLflow', 'KDB+', 'Scikit-learn']",114412,BA
Automotive,AI Researcher,"['Azure', 'GCP', 'Hugging Face', 'R', 'Scikit-learn']",Senior,Contract,2024-05-20,Startup,"['LangChain', 'TensorFlow']",44992,MG
Finance,Data Scientist,"['Azure', 'TensorFlow', 'C++']",Mid,Full-time,2024-05-21,Startup,['TensorFlow'],97542,TV
Retail,Data Scientist,"['SQL', 'CUDA', 'Flask']",Entry,Full-time,2024-05-21,Mid,"['Scikit-learn', 'BigQuery', 'MLflow']",143635,NO
Education,Quant Researcher,"['NumPy', 'C++', 'SQL']",Entry,Full-time,2024-05-21,Mid,['BigQuery'],111030,MM
Healthcare,Data Analyst,"['Keras', 'NumPy', 'Excel', 'C++', 'Pandas']",Entry,Contract,2024-05-22,Large,"['TensorFlow', 'BigQuery']",133789,BS
